  x       Q^2   F2(Al)/F2(D)    stat.     syst.
-----------------------------------------------
 0.13     2.0     1.033		0.014
 0.22     2.0     1.009		0.014
 0.30     2.0     1.004		0.014
 0.40     2.0     0.969		0.014
 0.50     2.0     0.929		0.011
 0.22     5.0	  1.005		0.012
 0.30     5.0	  1.002		0.015
 0.40	  5.0	  0.975		0.009
 0.50     5.0	  0.929		0.010
 0.60	  5.0	  0.904		0.007
 0.70	  5.0	  0.885		0.008
 0.40	 10.0	  0.965		0.013
 0.50	 10.0	  0.939		0.018
 0.60	 10.0	  0.889		0.013
 0.70	 10.0	  0.889		0.017
 0.80	 10.0	  0.975		0.018
 0.60	 15.0	  0.920		0.016
